FirstName;LastName;Sex;BirthDate;PassengerDocument_RU;PassengerDocument_INTL;CardNumber;ETicketNumber;TravelClass;DepartDate;DepartTime;ArrivalDate;ArrivalTime;FlightNumber;From;Dest;Fare;CityFrom;CityTo;CountryFrom;CountryTo;AgentInfo;Bonus;LoyaltyLevelDT;LoyaltyNumberDT;LoyaltyLevelFB;LoyaltyNumberFB;LoyaltyLevelKE;LoyaltyNumberKE;LoyaltyLevelSU;LoyaltyNumberSU;Codeshare
RAMIL;SCHUKIN;MALE;;;;KE 331448656;;Y;10.05.2017;;05.10.2017;;SU14;SVO;LED;YFLXLD;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;Korean Air SKYPASS;Elite;DT 674129575;;;Elite+;KE 331448656;;;False
ALBERT;KULESHOV;MALE;;;;;43035156663827.0;;27.05.2017;;;;SU14;SVO;LED;RECAMG;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;Elite;FB 502859474;;;;;False
DEMID;ERMOLOV;MALE;;;;;8218089180229783.0;;14.05.2017;;;;SU14;SVO;LED;FRSNIB;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;False
IGNAT;KALININ;MALE;;;;;;;06.05.2017;;;;SU14;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;Elite;SU 779971707;False
MIKHAIL;SINITCYN;MALE;;;;;4350473597610445.0;;06.05.2017;;;;SU14;SVO;LED;QFRHYD;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
VALERIIA;MAKAROVA;FEMALE;;;;;;;15.05.2017;;;;SU14;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;Basic;FB 332228675;;;;;False
VASILISA;ZOLOTAREVA;FEMALE;;;;;;;19.05.2017;;;;SU14;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;Elite;DT 281171104;;;Elite+;KE 200154370;;;False
VERA;ANISIMOVA;FEMALE;;;;;;;02.05.2017;;;;SU14;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;Elite+;SU 473944581;False
VSEVOLOD;STARIKOV;MALE;;;;;2929326902160087.0;;01.06.2017;;;;SU14;SVO;LED;IJYZDB;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
AGATA;PAVLOVA;FEMALE;;;;;6316583296473923.0;;03.05.2017;;;;SU16;SVO;LED;EGFDQU;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
IAROSLAVA;POSTNIKOVA;FEMALE;;;;;4145520995219184.0;;25.05.2017;;;;SU16;SVO;LED;HRNHZA;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;Elite+;DT 288365456;Elite+;FB 648323079;;;Elite+;SU 199011647;False
MARAT;VORONIN;MALE;;;;;;;12.05.2017;;;;SU16;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;Elite+;KE 111544067;;;False
MELANIIA;KORNEEVA;FEMALE;;;;;;;10.05.2017;;;;SU16;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;Basic;DT 368095331;;;;;;;False
NAZAR;GUBANOV;MALE;;;;;6165969016540249.0;;05.05.2017;;;;SU16;SVO;LED;LOMOQP;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
PLATON;DMITRIEV;MALE;;;;;;;20.05.2017;;;;SU16;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;Elite+;FB 30342542;;;;;False
SAMIRA;RUSAKOVA;FEMALE;;;;;;;05.05.2017;;;;SU16;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;Elite;DT 357693992;;;;;;;False
VLADISLAV;DUBOV;MALE;;;;;;;26.05.2017;;;;SU16;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;Basic;FB 169155251;;;;;False
ALBINA;PANFILOVA;FEMALE;;;;DT 470584366;;Y;18.05.2017;;;;SU18;SVO;LED;YGRPKK;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;Delta SkyMiles;Elite+;DT 470584366;;;;;;;False
ALEKSANDR;KRYLOV;MALE;;;;;;;25.05.2017;;;;SU18;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;Elite+;FB 766337533;Basic;KE 106733312;Elite+;SU 681448121;False
DAMIR;BYCHKOV;MALE;;;;;;;02.05.2017;;;;SU18;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;Elite+;FB 532879177;;;;;False
EDUARD;KOZYREV;MALE;;;;;8775064988544964.0;;29.05.2017;;;;SU18;SVO;LED;SKNOEW;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;False
ILYA;RAKOV;MALE;;;;;1070053139824228.0;;03.05.2017;;;;SU18;SVO;LED;QAVYLU;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
IRINA;TROITSKAYA;FEMALE;;;;;6694416401837881.0;;01.06.2017;;;;SU18;SVO;LED;EHQALY;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
LEONID;BORODIN;MALE;;;;;8963348702211226.0;;02.06.2017;;;;SU18;SVO;LED;DFGLVN;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
LEONID;KOZLOV;MALE;;;;;;;10.05.2017;;;;SU18;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;Elite;FB 691282272;;;;;False
MAKAR;BOGOMOLOV;MALE;;;;;;;31.05.2017;;;;SU18;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;Elite;KE 352847786;Elite;SU 195761166;False
PAVEL;MELNIKOV;MALE;;;;;8406491839469551.0;;29.05.2017;;;;SU18;SVO;LED;DULYGB;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;Basic;FB 250601662;;;;;False
SVIATOGOR;GONCHAROV;MALE;;;;;;;10.05.2017;;;;SU18;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;Elite;SU 813772793;False
TAMERLANE;ZAYTSEV;MALE;;;;;;;10.05.2017;;;;SU18;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;Elite;SU 120637720;False
TIHON;MURATOV;MALE;;;;;;;27.05.2017;;;;SU18;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;Elite;KE 263099925;;;False
IANA;BULATOVA;FEMALE;;;;SU 223740619;;Y;13.08.2017;;;;SU1830;SVO;MSQ;YRSTEM;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;Aeroflot Bonus;;;;;;;Basic;SU 223740619;False
DANILA;BASOV;MALE;;;;;;;11.08.2017;;;;SU1830;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;Basic;FB 533838657;;;;;False
DARINA;FOKINA;FEMALE;;;;;;;16.08.2017;;;;SU1830;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;Basic;FB 656294904;;;;;False
EDUARD;OSIPOV;MALE;;;;;;;21.07.2017;;;;SU1830;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;Basic;DT 190336618;;;;;;;False
EDUARD;ZUEV;MALE;;;;;4676498294401320.0;;01.08.2017;;;;SU1830;SVO;MSQ;DYJSCO;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
EVA;GRIBOVA;FEMALE;;;;;9054674893709804.0;;02.08.2017;;;;SU1830;SVO;MSQ;LKVAKQ;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
IASMINA;DROZDOVA;FEMALE;;;;;2534624712809672.0;;03.08.2017;;;;SU1830;SVO;MSQ;RKEZXT;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
IVAN;ANOHIN;MALE;;;;;246497130085123.0;;15.08.2017;;;;SU1830;SVO;MSQ;DFTRPJ;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;False
LARISA;HROMOVA;FEMALE;;;;;8891136127297605.0;;02.08.2017;;;;SU1830;SVO;MSQ;NWFTWX;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
SEMEN;KOCHETKOV;MALE;;;;;8571635323430327.0;;07.08.2017;;;;SU1830;SVO;MSQ;TMAZIM;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
SVETLANA;GUSHCHINA;FEMALE;;;;;;;26.07.2017;;;;SU1830;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;Elite+;FB 665511908;;;;;False
VLADISLAVA;GRIGOREVA;FEMALE;;;;;8101967411336010.0;;13.08.2017;;;;SU1830;SVO;MSQ;MGPZBY;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;False
GREGORY;KHOMIAKOV;MALE;;;;;;;29.07.2017;;;;SU1832;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;Basic;KE 442127511;;;False
KRISTINA;MURATOVA;FEMALE;;;;;;;15.08.2017;;;;SU1832;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;Elite+;SU 415321851;False
MILANA;SEVASTIANOVA;FEMALE;;;;;;;19.08.2017;;;;SU1832;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;Elite+;DT 520094652;Elite+;FB 394463731;;;;;False
VITALINA;TEREHOVA;FEMALE;;;;;1241930507946499.0;;30.07.2017;;;;SU1832;SVO;MSQ;KGGVVX;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;False
VSEVOLOD;SITNIKOV;MALE;;;;;;;05.08.2017;;;;SU1832;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;Elite+;FB 940928779;;;;;False
VSEVOLOD;TKACHEV;MALE;;;;;1651019318385092.0;;03.08.2017;;;;SU1832;SVO;MSQ;XCBXBH;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
STANISLAV;KULESHOV;MALE;;;;DT 566539457;;Y;05.08.2017;;08.05.2017;;SU1834;SVO;MSQ;YFLXIY;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;Delta SkyMiles;Elite+;DT 566539457;;;;;;;False
ALBERT;BUROV;MALE;;;;;9945277260406750.0;;08.08.2017;;;;SU1834;SVO;MSQ;ZGOGYL;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
INNA;ERMOLAEVA;FEMALE;;;;;8318912935609854.0;;24.07.2017;;;;SU1834;SVO;MSQ;OMWFTZ;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;False
IURII;SINITSYN;MALE;;;;;;;26.07.2017;;;;SU1834;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;Elite+;FB 864135011;;;;;False
JULIANA;OLEINIKOVA;FEMALE;;;;;5390330460567811.0;;06.08.2017;;;;SU1834;SVO;MSQ;GISRDO;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
KAMILLA;FEDOSEEVA;FEMALE;;;;;;;25.07.2017;;;;SU1834;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;Elite;SU 778846578;False
REGINA;KRYUKOVA;FEMALE;;;;KE 328835587;;Y;05.08.2017;;08.05.2017;;SU1838;SVO;MSQ;YFLXOO;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;Korean Air SKYPASS;;;;;Elite+;KE 328835587;;;False
AMIR;SAMOJLOV;MALE;;;;;3627152571212308.0;;22.07.2017;;;;SU1838;SVO;MSQ;WRRQUZ;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;Elite+;DT 234719624;Elite;FB 552206770;Elite+;KE 641240355;Basic;SU 299130639;False
ELMIRA;LOPATINA;FEMALE;;;;;;;19.08.2017;;;;SU1838;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;Elite+;SU 572711301;False
KAMILLA;KOZINA;FEMALE;;;;;;;06.08.2017;;;;SU1838;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;Elite;DT 924718790;;;;;;;False
MARGARITA;EVSEEVA;FEMALE;;;;;;;28.07.2017;;;;SU1838;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;Elite;DT 283523222;;;;;;;False
NELLI;NIKOLSKAIA;FEMALE;;;;;8274655109489314.0;;30.07.2017;;;;SU1838;SVO;MSQ;OHKYRZ;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;Elite;FB 595092099;;;;;False
SAMIRA;KOSTINA;FEMALE;;;;;620834695248747.0;;06.08.2017;;;;SU1838;SVO;MSQ;GJMIKG;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
TIHON;VOROBEV;MALE;;;;;8935109535569170.0;;25.07.2017;;;;SU1838;SVO;MSQ;QRWGMW;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;False
ANTONINA;SOFRONOVA;FEMALE;;;;KE 471701242;;Y;13.08.2017;;;;SU1840;SVO;MSQ;YFLXHJ;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;Korean Air SKYPASS;;;;;Basic;KE 471701242;;;False
SEMEN;VESHNYAKOV;MALE;;;;SU 993481817;;Y;29.07.2017;;;;SU1840;SVO;MSQ;YGRPRP;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;Aeroflot Bonus;Basic;DT 170866389;Elite;FB 249101483;;;Basic;SU 993481817;False
ADEL;LYKOV;MALE;;;;;2589903422675830.0;;03.08.2017;;;;SU1840;SVO;MSQ;BDBHBA;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
GERMAN;NIKULIN;MALE;;;;;5677330621592986.0;;08.08.2017;;;;SU1840;SVO;MSQ;TATQCZ;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
IAROSLAVA;DRUZHININA;FEMALE;;;;;7845574327134474.0;;17.08.2017;;;;SU1840;SVO;MSQ;ZIQISD;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;False
IASMINA;BABUSHKINA;FEMALE;;;;;2645117838371895.0;;01.08.2017;;;;SU1840;SVO;MSQ;QFYYQE;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
KRISTINA;MAKEEVA;FEMALE;;;;;1651183990106885.0;;03.08.2017;;;;SU1840;SVO;MSQ;JHSDPO;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
LEV;VESHNYAKOV;MALE;;;;;8356571641830100.0;;02.08.2017;;;;SU1840;SVO;MSQ;HUPIIU;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
MELANIIA;KOMISSAROVA;FEMALE;;;;;3508023327356531.0;;02.08.2017;;;;SU1840;SVO;MSQ;MVNRGM;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
NELLI;KULIKOVA;FEMALE;;;;;6906530816785628.0;;07.08.2017;;;;SU1840;SVO;MSQ;ZMVSKB;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
PETR;MINAEV;MALE;;;;;7224117975157961.0;;09.08.2017;;;;SU1840;SVO;MSQ;VTSUQN;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
REGINA;VISHNEVSKAIA;FEMALE;;;;;;;15.08.2017;;;;SU1840;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;Basic;KE 821327274;;;False
VICTOR;BELIAKOV;MALE;;;;;;;01.08.2017;;;;SU1840;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;Basic;SU 242595576;False
PAVEL;SIZOV;MALE;;;;DT 127412238;;;06.08.2017;;;;SU1842;SVO;MSQ;YSTNMB;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;Delta SkyMiles;Elite+;DT 127412238;Elite;FB 541862317;Basic;KE 463981529;Basic;SU 200820004;False
ELIZAVETA;SIDOROVA;FEMALE;;;;KE 343344510;;Y;06.08.2017;;08.06.2017;;SU1842;SVO;MSQ;YGRPLM;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;Korean Air SKYPASS;;;;;Elite;KE 343344510;;;False
LIDIJA;MAKAROVA;FEMALE;;;;SU 757073312;;Y;30.07.2017;;;;SU1842;SVO;MSQ;YRSTLC;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;Aeroflot Bonus;;;Elite+;FB 372020276;;;Elite;SU 757073312;False
ARTEM;TIMOFEEV;MALE;;;;;266865956755090.0;;08.08.2017;;;;SU1842;SVO;MSQ;VATJRS;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;False
GERMAN;KRASNOV;MALE;;;;;;;15.08.2017;;;;SU1842;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;Basic;DT 154181481;;;;;;;False
MAIIA;ZINOVEVA;FEMALE;;;;;4906373096715982.0;;06.08.2017;;;;SU1842;SVO;MSQ;CNUDUD;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;
MIRON;KOROLEV;MALE;;;;;3678728875197852.0;;27.07.2017;;;;SU1842;SVO;MSQ;PZKUAD;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;;;;;;;;;False
MIROSLAV;ZUBOV;MALE;;;;;;;07.08.2017;;;;SU1842;SVO;MSQ;;MOSCOW;MINSK;RUSSIAN FEDERATION;BELARUS;;;Elite;DT 669949030;Elite;FB 406492231;Elite+;KE 319129877;Elite;SU 91792877;False
ELISEY;SHISHKIN;MALE;;;;KE 725226660;;Y;28.05.2017;;;;SU20;SVO;LED;YSTNYP;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;Korean Air SKYPASS;Basic;DT 791515180;Elite;FB 761626214;Basic;KE 725226660;;;False
ALBINA;SEMINA;FEMALE;;;;;;;04.05.2017;;;;SU20;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;Elite+;FB 67437266;;;Basic;SU 68454051;False
EDUARD;YUDIN;MALE;;;;;9552014984057360.0;;02.05.2017;;;;SU20;SVO;LED;ZTRTXF;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
LIUDMILA;VDOVINA;FEMALE;;;;;;;09.05.2017;;;;SU20;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;Elite;KE 121886126;Basic;SU 278013577;False
MIRON;ANTIPOV;MALE;;;;;6489067049935147.0;;02.06.2017;;;;SU20;SVO;LED;BRFDSP;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
NINA;CHERNOVA;FEMALE;;;;;6009548408190501.0;;02.05.2017;;;;SU20;SVO;LED;PNSUZF;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
OKSANA;LYUBIMOVA;FEMALE;;;;;;;23.05.2017;;;;SU20;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;Elite+;SU 67946305;False
ROSTISLAV;BELIKOV;MALE;;;;;1582820508150775.0;;01.06.2017;;;;SU20;SVO;LED;NUAGLM;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
TATYANA;GORSHKOVA;FEMALE;;;;;7296061888441109.0;;01.06.2017;;;;SU20;SVO;LED;BNHNGL;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
TIMUR;POPOV;MALE;;;;;;;26.05.2017;;;;SU20;SVO;LED;;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;Elite+;FB 935349883;Elite+;KE 124605536;Elite+;SU 733252295;False
VLAD;VISHNEVSKIJ;MALE;;;;;4747812271840093.0;;01.06.2017;;;;SU20;SVO;LED;SYCANT;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;;;;;;;;;
MARK;KULESHOV;MALE;;;;DT 290786654;;Y;19.04.2017;;;;SU200;SVO;PEK;YRSTEZ;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;Delta SkyMiles;Basic;DT 290786654;;;;;;;False
ALIIA;MARKELOVA;FEMALE;;;;FB 550884923;;J;30.04.2017;;;;SU200;SVO;PEK;JGRPJV;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;Flying Blue;;;Basic;FB 550884923;;;;;False
LILIYA;TOLKACHEVA;FEMALE;;;;SU 836156695;;;03.05.2017;;;;SU200;SVO;PEK;JGRPCW;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;Aeroflot Bonus;Elite;DT 343401441;;;;;Elite+;SU 836156695;False
AMELIJA;ERMOLOVA;FEMALE;;;;;;;27.04.2017;;;;SU200;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;Elite;FB 970128734;;;;;False
AMINA;DIAKOVA;FEMALE;;;;;4917134609661019.0;;28.04.2017;;;;SU200;SVO;PEK;EKZKTA;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;;;;;False
ANNA;PASTUKHOVA;FEMALE;;;;;;;02.05.2017;;;;SU200;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;Basic;KE 275346106;;;False
EGOR;KUROCHKIN;MALE;;;;;;;18.04.2017;;;;SU200;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;Elite+;DT 223078640;Elite;FB 918613996;;;Basic;SU 948398743;False
GORDEI;SOKOLOV;MALE;;;;;7077942844512533.0;;02.05.2017;;;;SU200;SVO;PEK;NALIWJ;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;;;;;
KARINA;FILATOVA;FEMALE;;;;;3817860991703874.0;;28.04.2017;;;;SU200;SVO;PEK;NSQFQJ;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;Elite+;KE 3363252;;;False
KIRA;HROMOVA;FEMALE;;;;;;;16.04.2017;;;;SU200;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;Elite;FB 975425783;;;;;False
LOVE;GONCHAROVA;FEMALE;;;;;1642319166417676.0;;05.05.2017;;;;SU200;SVO;PEK;UHBDNJ;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;;;;;
NADEZHDA;PANFILOVA;FEMALE;;;;;;;04.05.2017;;;;SU200;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;Elite;KE 702898288;;;False
ROSTISLAV;SHAPOVALOV;MALE;;;;;;;10.05.2017;;;;SU200;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;Basic;DT 710841016;;;Elite+;KE 762504067;;;False
SEMEN;GONCHAROV;MALE;;;;;;;22.04.2017;;;;SU200;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;Basic;DT 12693816;;;;;;;False
SVETLANA;MALTSEVA;FEMALE;;;;;;;21.04.2017;;;;SU200;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;;;Elite;SU 50072360;False
VALENTINA;FILATOVA;FEMALE;;;;;3591451234910828.0;;03.05.2017;;;;SU200;SVO;PEK;WXYQDC;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;;;;;
EVA;KOPYLOVA;FEMALE;;;;DT 668168006;;P;17.04.2017;;;;SU204;SVO;PEK;PRSTYD;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;Delta SkyMiles;Elite;DT 668168006;;;;;;;False
VSEVOLOD;MASLENNIKOV;MALE;;;;KE 340240286;;;05.05.2017;;;;SU204;SVO;PEK;YFLXKR;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;Korean Air SKYPASS;Basic;DT 901672573;;;Basic;KE 340240286;;;False
ARINA;SUBBOTINA;FEMALE;;;;;;;11.05.2017;;;;SU204;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;Elite;FB 7072408;Elite+;KE 304877214;Elite+;SU 728613588;False
EVA;MALININA;FEMALE;;;;;1243583280415348.0;;02.05.2017;;;;SU204;SVO;PEK;SOLHNM;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;;;;;
GEORGIY;MELNIKOV;MALE;;;;;;;20.04.2017;;;;SU204;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;;;Basic;SU 378172347;False
MATVEY;KUZIN;MALE;;;;;;;23.04.2017;;;;SU204;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;;;;;Basic;KE 452669982;;;False
VLADISLAV;ZAYTSEV;MALE;;;;;;;09.05.2017;;;;SU204;SVO;PEK;;MOSCOW;BEIJING;RUSSIAN FEDERATION;CHINA;;;Basic;DT 677545548;;;;;;;False
AGATA;ALEKSANDROVA;FEMALE;;;;;2438648121325262.0;;13.05.2017;;;;SU22;SVO;LED;JCRYKZ;MOSCOW;SAINT PETERSBURG;RUSSIAN FEDERATION;RUSSIAN FEDERATION;;;Basic;DT 352120366;;;;;;;False
